學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,退學人數小計,因學業成績退學人數,因操行成績退學人數,因志趣不合退學人數,因逾期未註冊退學人數,因休學逾期未復學退學人數,因懷孕退學人數,因育嬰退學人數,因病退學人數,因工作需求退學人數,因經濟困難退學人數,因生涯規劃退學人數,其他退學人數
105,1,公立,一般大學,1,國立政治大學,學士班(日間),男,"3,912",53,6,0,12,0,33,0,0,0,0,...,...,2
105,1,公立,一般大學,1,國立政治大學,碩士班(日間),男,"1,808",71,5,0,15,0,49,0,0,0,0,...,...,2
105,1,公立,一般大學,1,國立政治大學,碩士在職專班,男,882,24,0,0,3,0,20,0,0,0,0,...,...,1
105,1,公立,一般大學,1,國立政治大學,博士班,男,605,30,4,0,5,0,21,0,0,0,0,...,...,0
105,1,公立,一般大學,1,國立政治大學,學士班(日間),女,"5,799",58,2,0,24,0,30,0,0,0,0,...,...,2
105,1,公立,一般大學,1,國立政治大學,碩士班(日間),女,"2,154",54,4,0,16,0,34,0,0,0,0,...,...,0
105,1,公立,一般大學,1,國立政治大學,碩士在職專班,女,836,30,1,0,4,0,24,0,0,0,0,...,...,1
105,1,公立,一般大學,1,國立政治大學,博士班,女,376,11,0,0,1,0,9,0,0,0,0,...,...,1
105,1,公立,一般大學,2,國立清華大學,學士班(日間),男,"4,843",114,18,0,31,13,47,0,0,1,1,...,...,3
105,1,公立,一般大學,2,國立清華大學,碩士班(日間),男,"3,001",48,6,0,7,12,16,0,0,0,5,...,...,2
105,1,公立,一般大學,2,國立清華大學,碩士在職專班,男,357,10,1,0,0,4,3,0,0,0,0,...,...,2
105,1,公立,一般大學,2,國立清華大學,博士班,男,"1,306",52,6,0,6,16,21,0,0,0,3,...,...,0
105,1,公立,一般大學,2,國立清華大學,學士班(日間),女,"4,163",78,2,0,37,9,26,0,0,0,0,...,...,4
105,1,公立,一般大學,2,國立清華大學,碩士班(日間),女,"1,815",58,5,0,3,10,25,0,0,0,9,...,...,6
105,1,公立,一般大學,2,國立清華大學,碩士在職專班,女,632,13,4,0,1,2,2,0,0,0,1,...,...,3
105,1,公立,一般大學,2,國立清華大學,博士班,女,381,11,0,0,1,4,6,0,0,0,0,...,...,0
105,1,公立,一般大學,3,國立臺灣大學,學士班(日間),男,"9,403",255,26,0,37,163,1,0,0,0,0,...,...,28
105,1,公立,一般大學,3,國立臺灣大學,碩士班(日間),男,"6,160",137,15,0,4,19,87,0,0,0,0,...,...,12
105,1,公立,一般大學,3,國立臺灣大學,碩士在職專班,男,842,21,3,0,0,5,13,0,0,0,0,...,...,0
105,1,公立,一般大學,3,國立臺灣大學,博士班,男,"2,679",125,21,0,0,18,70,0,0,0,0,...,...,16
105,1,公立,一般大學,3,國立臺灣大學,學士班(日間),女,"7,096",141,10,0,23,100,1,0,0,0,0,...,...,7
105,1,公立,一般大學,3,國立臺灣大學,碩士班(日間),女,"3,994",110,10,0,1,13,79,0,0,0,0,...,...,7
